no_club;nom_club;pays_club;stade_club;surnom_club
1;Real Madrid ;Espagne;Santiago Bernabeu;La Casa Blanca
2;Paris Saint Germain;France;Parc des Princes;Les Parisiens
3;Liverpool;Angleterre;Anfield;The Reds
4;Bayern Munich;Allemagne;Allianz Arena;die Roten
5;Juventus;Italie;Allianz Stadium;La Vieille Dame
6;FC Barcelone;Espagne;Camp Nou;Blaugranas
7;Olympique Lyonnais;France;Groupama Stadium;Les Gones
8;Manchester United;Angleterre;Old Trafford;Red Devils
9;Borussia Dortmund;Allemagne;Signal Iduna Park;BVB
10;FC Internazionale Milano;Italie;San Siro;I Nerazzurri
11;Chelsea;Angleterre;Stamford Bridge;The Blues
12;Villareal CF;Espagne;Estadio de la Cerámica;Le Sous-marin jaune
13;Manchester City;Angleterre;Etihad Stadium;The Skyblues
14;Atlético de Madrid;Espagne;Wanda Metropolitano;Los Colchoneros
15;Lille ;France;Stade Pierre-Mauroy;Les Dogues
16;Monaco;France;Stade Louis-II;Les Monégasques
17;SS Lazio;Italie;Stadio Olimpico;Biancocelesti
18;Naples;Italie;Stade Diego Armando Maradona;Gli Azzurri
19; Santos FC;Brésil;Urbano Caldeira;Peixe
20;Ajax Amsterdam;Pays-Bas;Johan Cruyff Arena;Les Ajacides
