no_equipe;pays_equipe;surnom_equipe;stade_equipe
1;Espagne;La Roja;Estadio de la Cartuja
2;Brésil;La Seleção;Maracanã
3;France;Les Bleus;Stade de France
4;Croatie;Vatreni;Stade Maksimir
5;Uruguay;La Celeste;Stade Centenario
6;Belgique;Les Diables Rouges;Stade Roi Baudouin
7;Allemagne;Die Mannschaft;Allianz Arena
8;Pays de Galles;Les Dragons;Millennium Stadium
9;Ukraine;Jovto-Blakytni;Stade olympique de Kiev
10;Autriche;Das Team;Stade Ernst-Happel
11;République Dominicaine;Los Quisqueyanos;Estadio Olímpico Félix Sánchez
12;Serbie;Les Aigles blancs;Stade Rajko Mitic
13;Costa Rica;Los Ticos;Stade national du Costa Rica
14;Argentine;L'Albiceleste;Estadio Monumental Antonio Vespucio Liberti 
15;Portugal;A Seleção;Estádio da Luz
16;Sénégal;Les Lions de la Teranga;Stade Léopold Sédar Senghor
17;Italie;La Nazionale;Stade Olympique de Rome
18;Angleterre;The Three Lions;Wembley
19;Pays Bas;De Oranjes;Johan Cruyff Arena
20;Maroc;Les Lions de l'Atlas;Complexe Sportif Moulay-Abdallah
21;Guinée;Le Syli national de Guinée;Stade de Nongo
22;Algérie;Les Fennecs;Stade Mustapha-Tchaker
23;Egypte;Les Pharaons;Stade international du Caire
24;Japon;Samourai Blue;Stade Olympique national de Tokyo
25;Cameroun;Les Lions indomptables;Stade Ahmadou Ahidjo
26;Grèce;Le Bateau Pirate;Stade olympique Athènes
27;Irlande;The Boys in Green;Aviva Stadium
28;Irlande du Nord;Green and White Army;Windsor Park
29;Ecosse;The Tartan Army;Hampden Park
30;Canada;The Canucks;BMO Field
31;Pologne;Blanc et rouge;Stade national de Varsovie
32;Etats-Unis;Team USA;Nissan Stadium
33;Colombie;Los Cafeteros;Stade Metropolitano Roberto Melendez
34;Suède;Bleu et Jaune;Friends Arena
35;Danemark;Les Dynamites danoises;Parken Stadium
36;Togo;Les Eperviers;Stade de Kégué
37;Côte d'Ivoire;Les Eléphants;Stade olympique d'Ebimpe
38;Zimbabwe;The Warriors;National Sports Stadium
39;Suisse;La Nati;Stade du Wankdorf
40;Norvège;Drillos;Ullevaal Stadion
41;Chili;La Roja de todos;Estadio Nacional de Chile
42;Bosnie-Herzégovine;Zmajevi;Stade Bilino Polje
43;Turquie;Ay-Yildizlilar;Stade Olympique Atatürk
44;Slovaquie;Repre;Stade Antona Malatinského
45;Slovénie;Zmajceki;Stadion Ljudski vrt
46;Roumanie;Tricolorii;Arena Nationala
47;Libéria;Lone Stars;Samuel Kanyon Doe Sports Complex
48;Monténégro;Hrabri Sokoli;Podgorica City Stadium
49;Albanie;Kuq e Zinjte;Air Albania Stadium
50;Russie;Sbornaja;Stade Loujniki
51;Mozambique;Os Mambas;Stade national de Maputo
